stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
17,17,"Hansen and Austin Ave.",,40.859666,-79.910859,,,0,,0
176,176,"Whitestown and Villa Drive",,40.859787,-79.928739,,,0,,0
179,179,"Vagabond Center",,40.852592,-79.916627,,,0,,0
18,18,"Woody Drive Shelter",,40.854701,-79.908605,,,0,,0
182,182,"Whitestown and Home Ave",,40.859616,-79.935175,,,0,,0
183,183,"Whitestown and Duffy by Good Guyz",,40.859486,-79.939273,,,0,,0
184,184,"Duffy and Hazelette",,40.863944,-79.939676,,,0,,0
185,185,"Duffy and Route 68",,40.867587,-79.939845,,,0,,0
186,186,"Stop Sign by Ollies",,40.874882,-79.951463,,,0,,0
187,187,"Route 68 and Eberhart",,40.866541,-79.954262,,,0,,0
188,188,"Route 68 and back entrance of VA",,40.867724,-79.944309,,,0,,0
189,189,"Stirling Village",,40.86707,-79.951246,,,0,,0
19,19,"Gabes in Pullman Square",,40.85701,-79.908762,,,0,,0
190,190,"Sams Club at Moraine Point Plaza",,40.876965,-79.953325,,,0,,0
191,191,"Giant Eagle at Moraine Point Plaza",,40.875212,-79.949994,,,0,,0
192,192,"Stop sign at Bank",,40.876782,-79.951377,,,0,,0
193,193,"New Castle at Hindman across from Sheetz",,40.877019,-79.948906,,,0,,0
194,194,"New Castle Rd at McCandless",,40.872489,-79.938647,,,0,,0
195,195,"Panera in Butler Commons",,40.876266,-79.944207,,,0,,0
196,196,"Walmart in Butler Commons",,40.87738,-79.942871,,,0,,0
197,197,"Butler VA Health",,40.873719,-79.943843,,,0,,0
198,198,"Kaufman at 100 Block",,40.856096,-79.882038,,,0,,0
199,199,"Target in Butler Commons",,40.875348,-79.942444,,,0,,0
20,20,"Sav-A-Lot in Pullman Square",,40.858728,-79.908618,,,0,,0
200,200,"Park Manor Shelter",,40.872778,-79.931449,,,0,,0
202,202,"Hindman Rd at Sheetz",,40.877889,-79.94866,,,0,,0
203,203,"New Castle at McCandless (Keelan)",,40.872533,-79.938273,,,0,,0
204,204,"Alameda Park Rd at Plaza entrance",,40.871909,-79.93176,,,0,,0
205,205,"Duffy and Whitestown on return trip",,40.859413,-79.938779,,,0,,0
208,208,"Dollar Tree",,40.879318,-79.944818,,,0,,0
21,21,"Hansen Ave. and Woodrow St.",,40.853803,-79.911833,,,0,,0
213,213,"BMH Tower",,40.86722,-79.880387,,,0,,0
217,217,"Brady at Main rt5",,40.863508,-79.895065,,,0,,0
218,218,"Decatur BC3",,40.826601,-79.915266,,,0,,0
219,219,"Tesla Bio (Former Days Inn)",,40.84038,-79.918465,,,0,,0
22,22,"Whitestown at Chesapeake Rt5",,40.85139,-79.913953,,,0,,0
221,221,"Childrens Ctr",,40.883334,-79.901413,,,0,,0
222,222,"Kohls",,40.87909,-79.947854,,,0,,0
225,225,"Rt 68 and Duffy",,40.867658,-79.939944,,,0,,0
226,226,"Stirling Village",,40.867148,-79.950159,,,0,,0
227,227,"Renaissance Drive",,40.85504,-79.911293,,,0,,0
234,234,"Alton St. at Bessemer",,40.848802,-79.920107,,,0,,0
235,235,"Chestnut and Brady St.",,40.863503,-79.900515,,,0,,0
236,236,"Chestnut and North St.",,40.862463,-79.900489,,,0,,0
237,237,"Chestnut and New Castle",,40.861804,-79.900458,,,0,,0
238,238,"Chestnut and Rt.68 (Jefferson)",,40.861182,-79.900471,,,0,,0
239,239,"Doughboy Park - Mercer and 68",,40.862259,-79.905573,,,0,,0
25,25,"Armco and Chesapeake",,40.848685,-79.913641,,,0,,0
250,250,"BHS Crossroads Campus",,40.875135,-79.875569,,,0,,0
252,252,"Care and Rehab Center",,40.900833,-79.911773,,,0,,0
253,253,"VA Heath Care Ctr Duffy Rd.",,40.888601,-79.943687,,,0,,0
254,254,"Thompson Greene Apts.",,40.881942,-79.940918,,,0,,0
255,255,"New Castle at Wendys",,40.870273,-79.929976,,,0,,0
256,256,"New Castle at Alameda Plaza hot dog shop",,40.871015,-79.932884,,,0,,0
257,257,"Terminal New Castle St.",,40.861722,-79.896562,,,0,,0
258,258,"Renaissance @ Steps",,40.855365,-79.911339,,,0,,0
