Route,Stop,Ridership,Name,Lat,Lon
1,27,"2,099",Sharp Shopper in Point Plaza,40.86955,-79.930319
1,189,10,Stirling Village,40.86707,-79.951246
1,199,"2,004",Target in Butler Commons,40.875348,-79.942444
1,257,"15,017",Terminal New Castle St.,40.861722,-79.896562
1,1,"1,555",Terrace Apartments,40.860586,-79.892732
1,197,"1,454",Butler VA Health,40.873719,-79.943843
1,179,18,Vagabond Center,40.852592,-79.916627
1,196,"12,982",Walmart in Butler Commons,40.87738,-79.942871
1,26,677,Whitestown Chesapeake,40.85149,-79.913932
1,183,"1,303",Whitestown and Duffy by Good Guyz,40.859486,-79.939273
1,182,23,Whitestown and Home Ave,40.859616,-79.935175
1,176,294,Whitestown and Villa Drive,40.859787,-79.928739
1,164,42,Whitestown and Young,40.859857,-79.932591
6,260,81,AHN Cancer Center,40.850484,-79.909256
6,234,126,Alton St. at Bessemer,40.848802,-79.920107
6,57,"1,510",Butler Arbors Apartments,40.85572,-79.885989
6,25,113,Armco and Chesapeake,40.848685,-79.913641
6,262,674,Bartok Circle at BC3,40.829558,-79.913128
6,134,76,Butler County Community College,40.826436,-79.911643
6,66,293,Center and Morton Ave Ext,40.84483,-79.881371
6,62,46,Center and South,40.852453,-79.884764
6,61,91,Center and Standard may also use Hickory,40.853492,-79.886362
6,64,73,Center and Wallula,40.850384,-79.88146
6,65,139,Center and Whippo,40.849186,-79.881459
6,125,0,Coverdale and Alhambra at Roosevelt,40.848724,-79.902418
6,146,186,Cunningham and Chestnut,40.859875,-79.900297
6,218,1,Decatur BC3,40.826601,-79.915266
6,55,940,Donut Connection Shelter,40.855156,-79.889447
6,73,12,Graham and Morton,40.847894,-79.890421
6,139,"4,622",former Friedmans at Greater Butler Mart,40.843343,-79.917997
6,123,767,Greenview Garden Apts,40.851719,-79.901461
6,141,25,Hansen Ave at Pullman light,40.854201,-79.911646
6,198,93,Kaufman at 100 Block,40.856096,-79.882038
6,59,900,Kaufman and Zeigler Dr,40.854103,-79.88169
6,87,663,Lafayette Apartments,40.858543,-79.895418
6,129,0,Litman Road,40.842247,-79.902656
6,132,39,Mama Rosa,40.829245,-79.908823
6,69,63,McQuistion and Mechling,40.845378,-79.888856
6,71,4,McQuistion and Ritter Ave,40.845223,-79.893402
6,70,0,Meadowood,40.845283,-79.891753
6,80,154,Morton and Brugh,40.853359,-79.895179
6,76,18,Morton and Cottage Hill,40.85085,-79.890355
6,77,24,Morton and Fairview Avenue,40.851507,-79.890622
6,79,179,Morton and Freemont,40.853075,-79.892654
6,75,1,Morton and East Patterson,40.85004,-79.890306
6,78,108,Morton and Walker Ave,40.852453,-79.891763
6,131,103,Old Plank and Dutchtown,40.836127,-79.904889
6,130,"1,916",Old Plank Estates,40.837486,-79.902756
6,133,0,Old Plank and Spooner,40.827944,-79.909386
6,127,63,Old Plank and Grandview Blvd,40.847887,-79.901778
6,128,1,Old Plank and Walters,40.845527,-79.900538
6,144,111,Pillow and 3rd,40.860389,-79.906158
6,145,100,Pillow and Cunningham,40.861364,-79.904221
6,142,83,Pillow and South 6th,40.860254,-79.908642
6,126,132,Pittsburgh Pike,40.846176,-79.90026
6,227,27,Renaissance Drive,40.85504,-79.911293
6,72,126,Ritter and Rockenstein,40.847366,-79.893533
6,74,2,Rockenstein and Morton,40.847504,-79.890543
6,122,8,Roosevelt Blvd,40.853654,-79.899418
6,20,81,Sav-A-Lot in Pullman Square,40.858728,-79.908618
6,67,440,Sunnyview,40.84699,-79.886865
6,257,"16,923",Terminal New Castle St.,40.861722,-79.896562
6,219,246,Tesla Bio (Former Days Inn),40.84038,-79.918465
6,18,516,Woody Drive Shelter,40.854701,-79.908605
6,60,172,Zeigler and Center,40.854052,-79.88685
3,105,248,Second at Eau Claire,40.864091,-79.883979
3,109,468,Butler Townshouses,40.868849,-79.895137
3,160,32,Beech Rd and Rt 8,40.885913,-79.901788
3,250,"1,870",BHS Crossroads Campus,40.875135,-79.875569
3,213,849,BMH Tower,40.86722,-79.880387
3,159,323,Bon Aire Shopping,40.882226,-79.898593
3,46,182,Brady and McKean St,40.863496,-79.893463
3,97,231,Butler Memorial Hospital,40.866881,-79.881723
3,102,4,Carbon and Second,40.862716,-79.883309
3,101,197,Carbon at Third,40.86297,-79.882059
3,252,"1,836",Care and Rehab Center,40.900833,-79.911773
3,238,"2,238",Chestnut and Rt.68 (Jefferson),40.861182,-79.900471
3,116,360,Chestnut and Jefferson St,40.860962,-79.900527
3,119,878,Chestnut and Wayne,40.856989,-79.900446
3,221,140,Childrens Ctr,40.883334,-79.901413
3,89,"1,408",Cliffside Apartments,40.857659,-79.89365
3,104,35,Eau Claire at First,40.863826,-79.885175
3,107,169,Advanced Auto at Evans Rd,40.882832,-79.89937
3,103,262,First at Carbon,40.862521,-79.88491
3,106,"3,994",Food Court at the Clearview Mall,40.896975,-79.905548
3,3,"1,269",Franklin and Brady St.,40.863375,-79.891275
3,91,"1,480",Grapevine Center Shelter,40.862072,-79.889161
3,155,442,Lumar Village,40.871465,-79.891572
3,110,1,Main and W Pearl,40.866726,-79.895162
3,111,18,Main and Penn St,40.86513,-79.895268
3,112,52,Main and West Brady St,40.863496,-79.895271
3,88,530,Main and Wayne across post office,40.856983,-79.895106
3,157,128,McKean at Polk,40.868664,-79.893413
3,54,16,McKean at Cunningham Geibels,40.859718,-79.89361
3,156,57,McKean at E. Penn RT3,40.864993,-79.893496
3,154,345,McKean and Fulton,40.867175,-79.893446
3,153,97,McKean at Pearl Street,40.86635,-79.893467
3,108,161,Butler Medical Assoc Avada Bldg,40.877479,-79.898754
3,148,419,Pearl at Second,40.866816,-79.885226
3,151,38,Pearl and Elm Street,40.866405,-79.889667
3,152,216,Pearl and Franklin Street,40.866313,-79.891369
3,150,265,Pearl and Monroe Street,40.866407,-79.888676
3,149,128,Pearl and Oak Street,40.866418,-79.887723
3,257,"14,661",Terminal New Castle St.,40.861722,-79.896562
3,1,974,Terrace Apartments,40.860586,-79.892732
3,96,203,Third St at E. Brady,40.866742,-79.883281
3,163,"2,965",Texas Roadhouse,40.895088,-79.904873
5,225,18,Rt 68 and Duffy,40.867658,-79.939944
5,48,122,Route 68 and Benbrook Rd by Sheetz,40.862338,-79.967595
5,49,797,Benbrook Medical Center,40.865703,-79.969134
5,9,566,W. Brady at N. Chesnut on Rt5,40.86346,-79.900449
5,217,160,Brady at Main rt5,40.863508,-79.895065
5,46,831,Brady and McKean St,40.863496,-79.893463
5,113,599,Brady and Washington St,40.863524,-79.896805
5,238,"1,947",Chestnut and Rt.68 (Jefferson),40.861182,-79.900471
5,237,182,Chestnut and New Castle,40.861804,-79.900458
5,236,573,Chestnut and North St.,40.862463,-79.900489
5,89,"2,605",Cliffside Apartments,40.857659,-79.89365
5,146,495,Cunningham and Chestnut,40.859875,-79.900297
5,147,5,Cunningham and Washington,40.859943,-79.89702
5,208,"1,198",Dollar Tree,40.879318,-79.944818
5,239,"1,636",Doughboy Park - Mercer and 68,40.862259,-79.905573
5,205,451,Duffy and Whitestown on return trip,40.859413,-79.938779
5,39,"2,296",Cunningham St by former Family Video,40.861769,-79.904538
5,3,"2,855",Franklin and Brady St.,40.863375,-79.891275
5,19,458,Gabes in Pullman Square,40.85701,-79.908762
5,141,6,Hansen Ave at Pullman light,40.854201,-79.911646
5,169,"1,290",Harbor Freight at Moraine Point,40.875306,-79.952892
5,202,114,Hindman Rd at Sheetz,40.877889,-79.94866
5,222,656,Kohls,40.87909,-79.947854
5,87,577,Lafayette Apartments,40.858543,-79.895418
5,54,2,McKean at Cunningham Geibels,40.859718,-79.89361
5,203,89,New Castle at McCandless (Keelan),40.872533,-79.938273
5,10,33,New Castle across BHS Entrance on Rt5,40.867179,-79.92111
5,256,115,New Castle at Alameda Plaza hot dog shop,40.871015,-79.932884
5,15,"1,932",New Castle and N. 6th Ave.,40.862823,-79.908412
5,144,47,Pillow and 3rd,40.860389,-79.906158
